ID,Class,Percent,Subclass
7125907541665565958,유,1.0,text
7089481423274446085,美,1.0,text
7157451525785128197,甩甩甩甩甩_店店店店店街,1.0,text
7153972048652422406,汪_É13!,1.0,text
7154894473569275142,♫os hawaianos,1.0,text
7132140612509289733,■_L_Vamos juntos_pelo Brasil_da esperança_VAM_PELO BRASIL_DA ESPERANÇA._REC,1.0,text
7145488577718258950,√* LULA TE AMOX_Vem pro Spotify!_QUE EU_AMO ELE,1.0,text
7063494774287879429,ოოო,1.0,text
7132308627553012998,เรายอม - Vouveadsense on valvoveo_Começou!,1.0,text
7151517516244864262,ਇਹ_ASIL_CARTA A NAÇÃO_Sempre vai haver alguém de_quem você não gosta,1.0,text
7120270818977844485,سال 5_Faz_MIDI WORK,1.0,text
7112599751098453253,جماعة_ا,1.0,text
7156123618194230533,ор_Lulinha_e_uma,1.0,text
7157847876784131333,РР_PP SI_Vote!_CO_em_massa para votar._565,1.0,text
7076797582801915141,é a nossa liberdade._PRESIDENTE_JAIR BOLSONARO,1.0,text
7140627900113505541,"ÉS BELÓ, ÉS FORTE, IMPAVIDO COLOSSO_ÉS BEL_OSSO_ÉS BELO, ES FORTE, IMPÁVIDO COLOSSO_Ha_Cho",1.0,text
7132503317246233862,É 13!_TA,1.0,text
7062402803955895558,ÁGUAS DO SÃO FRANCISCO_PARA O NORDESTE_JATI - CE,1.0,text
7152119575239265542,"yo_@adenu_on_@adenumusic_Malvadão_13_Ô, governador, abaixa a passagem_Que meu bolso não aguenta!_PAN",1.0,text
7143600673618218246,www._Eu acho que bebida é_proibida na cadeia.,1.0,text
7072758305168297221,www._08 DE MARCO_Pia internacional_da mulher,1.0,text
7070249608659733765,www,1.0,text
7145237663451188485,welve_PROUNI!,1.0,text
7146758413807013125,w_9!_9 DIAS PARA_VOTAR 13,1.0,text
7149319902761880838,você não me conhece_até saber que:_ELE E_Você não me conhece_ate saber que...,1.0,text
7142697600049794309,você jovem saber.,1.0,text
7077539969274744069,"vamos falar do FIES,_No FIES,_PRESIDENTE_JAIR BOLSONARO",1.0,text
7122425160489094406,vamos com a bandeira!,1.0,text
7145033272052010246,ula_lo_Vem!,1.0,text
7144772057631411462,"transposição não._quem fez?_QUEM_FRANCISCO_RIO SÃO_TRANSPOSICÃO DO_OPAGANDA ELEITORAL COLIGAÇÃO BRASIL DA ESPERANÇA – FEGETU_(PT/PCDOB/PV)EPSOL/REDE, SOLIDARIEDADE, PSE AGIR AVANTE E RINGS",1.0,text
7117269425203514630,tanto é que tentaram_me matar,1.0,text
7147701569931250971,tak_a_MAGN_ia_nacional.,1.0,text
7132847399856393478,são gamers é então boa noite aos_+games todo brasil,1.0,text
7079053260639849733,stine_vammais segurance_nam a unidade_PLOTARDS_Trechos_Live 24/03/22_GAVER VAN PAINT_GETARIO_PATA UPD_SEVERI_STAL & SEPAKT_ARTERJADEIRE_D_HEN_HEBEI_1000_FAIN,1.0,text
7149706055642008838,"se pod_É 13! Zagalo,",1.0,text
7148455112862731525,se eu pudesse conversar_com o mini Lula_OMA_Se eu pudesse_com o mini Lula_conversar,1.0,text
7094940179949047046,"que tá pegando fogo_na Amazônia,_FRRIGENTE_JAIR BOLSONARO",1.0,text
7114971700365692165,que alguém chegasse_quase sem comitiva_PRESIDENTE_JAIR BOLSONARO,1.0,text
7139971812351331589,que a gente não assuma a responsabilidade_de mudar de comportamento_que_NAVA_Dia da Amazônia_dade_NAV_Love_que a gente não assuma a responsabilidade_de mudar de comportamento,1.0,text
7067269906789698822,quantas vezes eu pago_um preço alto por_falar a verdade?,1.0,text
7127753826043448581,pres_KALL,1.0,text
7102065633055067398,"pre_Curtido por heldercaracol e outras 11.550 pessoas_fabiofaria.br A fabrficial acaba de lançar og rtes Carcará ell_por elo figut labda Artir de hoje, o Brasil_passana_itor de_collam_imageamu_PRESIDENTE_JAIR BOLSONARO_DEFESA AGORA_dow d_obes par_B",1.0,text
7079407127881616645,"pra quem pagava DPVAT,_um valor absurdo_PRESIDENTE_JAIR BOLSONARO",1.0,text
7144775317385678085,por tudo aquilo_que ela fez pelo mundo.,1.0,text
7140748124288584965,por tras do Lula,1.0,text
7116479466896919814,parece no Brasil,1.0,text
7096096774833704197,os prototipos de_ditadores pelo Brasil._PRESIDENTE_JAIR BOLSONARO,1.0,text
7083474427756727557,"olha tá vago, tá vago aí_o cargo de porta voz aí!_PRESIDENTE_JAIR BOLSONARO",1.0,text
7091095629585206534,of,1.0,text
7063796844056349958,"obras no exterior com_dinheiro do povo brasileiro,",1.0,text
7158596845634178309,o nosso Brasil amoroso.,1.0,text
7062689458709073157,o endividamento da Petrobras,1.0,text
7072043448102063366,o Brasil continua_AMIN_707_17867_11-14-1_WOOD,1.0,text
7090524242105732358,o Brasil continua firme._PRESIDENTE_JAIR BOLSONARO,1.0,text
